Country,Time,Balance,Product,Value,Unit,Month,Year
Colombia,2022-04-01,Net Electricity Production,Renovable,6.7983,GWh,4,2022
Colombia,2022-03-01,Net Electricity Production,Renovable,5067.6348,GWh,3,2022
Colombia,2022-03-01,Net Electricity Production,No Renovable,324.9951,GWh,3,2022
Colombia,2022-03-01,Net Electricity Production,No Renovable,227.3206,GWh,3,2022
Colombia,2022-03-01,Net Electricity Production,No Renovable,1127.483,GWh,3,2022
Colombia,2022-03-01,Net Electricity Production,Renovable,189.3423,GWh,3,2022
Colombia,2022-03-01,Net Electricity Production,Renovable,30.253,GWh,3,2022
Colombia,2022-03-01,Net Electricity Production,Renovable,9.5764,GWh,3,2022
Colombia,2022-02-01,Net Electricity Production,Renovable,4109.8795,GWh,2,2022
Colombia,2022-02-01,Net Electricity Production,No Renovable,1035.3235,GWh,2,2022
Colombia,2022-02-01,Net Electricity Production,No Renovable,224.6125,GWh,2,2022
Colombia,2022-02-01,Net Electricity Production,No Renovable,1067.7363,GWh,2,2022
Colombia,2022-02-01,Net Electricity Production,Renovable,189.3414,GWh,2,2022
Colombia,2022-02-01,Net Electricity Production,No Renovable,0.0,GWh,2,2022
Colombia,2022-02-01,Net Electricity Production,Renovable,27.0547,GWh,2,2022
Colombia,2022-02-01,Net Electricity Production,Renovable,7.4621,GWh,2,2022
Colombia,2022-01-01,Net Electricity Production,Renovable,4496.8262,GWh,1,2022
Colombia,2022-01-01,Net Electricity Production,No Renovable,1054.1495,GWh,1,2022
Colombia,2022-01-01,Net Electricity Production,No Renovable,223.5386,GWh,1,2022
Colombia,2022-01-01,Net Electricity Production,No Renovable,1028.4826,GWh,1,2022
Colombia,2022-01-01,Net Electricity Production,Renovable,189.4316,GWh,1,2022
Colombia,2022-01-01,Net Electricity Production,No Renovable,0.0,GWh,1,2022
Colombia,2022-01-01,Net Electricity Production,Renovable,34.2781,GWh,1,2022
Colombia,2022-01-01,Net Electricity Production,Renovable,7.3079,GWh,1,2022
Colombia,2021-12-01,Net Electricity Production,No Renovable,0.0,GWh,12,2021
Colombia,2021-12-01,Net Electricity Production,Renovable,4818.5864,GWh,12,2021
Colombia,2021-12-01,Net Electricity Production,No Renovable,667.4718,GWh,12,2021
