Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año],Energía [kWh/año],Emisiones CO2 [Ton/días]
Carvajal ginebra,Solar,4.15,Valle del cauca,Ginebra,76,76306,2023-01-29,19920.0,3454,15562500000.0,29,5817.0,7270800.0,15.936986301369863
Éxito cali,Solar,0.61,Valle del cauca,Cali,76,76001,2023-01-29,2928.0,508,2287500000.0,4,855.0,1068720.0,2.3424657534246576
Éxito popayán,Solar,0.3,Cauca,Popayán,19,19001,2023-01-29,1440.0,250,1125000000.0,2,420.0,525600.0,1.1506849315068493
Postobon malambo,Solar,5.5,Atlántico,Malambo,8,8433,2023-01-29,26400.0,4578,20625000000.0,38,7709.0,9636000.0,21.12054794520548
Hipinto piedecuesta,Solar,1.3,Santander,Piedecuesta,68,68547,2023-01-29,6240.0,1082,4875000000.0,9,1822.0,2277600.0,4.991780821917808
Sol de gamarrita 1-3,Solar,45.0,Cesar,Aguachica,20,20011,2023-02-09,216000.0,37457,168750000000.0,313,63072.0,78840000.0,172.8
Pv la mata,Solar,80.0,Cesar,La gloria,20,20383,2023-12-31,384000.0,66590,344000000000.0,557,112128.0,140160000.0,307.2
Pv la unión,Solar,100.0,Córdoba,Montería,23,23001,2023-12-31,480000.0,83237,375000000000.0,696,140160.0,175200000.0,384.0
Pétalo del cesar ii,Solar,19.9,Norte de santander,La esperanza,54,54385,2024-02-29,95520.0,16564,74625000000.0,139,27892.0,34864800.0,76.41643835616438
Pétalo del cesar i,Solar,9.9,Cesar,Chiriguaná,20,20178,2024-02-29,47520.0,8240,37125000000.0,69,13876.0,17344800.0,38.016438356164386
Sebastosol,Solar,700.0,Santander,Cimitarra,68,68190,2023-12-31,3360000.0,582659,2625000000000.0,4872,981120.0,1226400000.0,2688.0
Bosques solares de bolívar (5x19.9),Solar,99.5,Atlántico,Sabanalarga,8,8638,2023-12-31,477600.0,82821,373125000000.0,693,139459.0,174324000.0,382.0794520547945
Aquasol,Solar,1.5,Córdoba,"""""",23,23,2022-10-31,7200.0,1249,5625000000.0,10,2102.0,2628000.0,5.758904109589041
Caracolí i,Solar,50.0,Atlántico,Malambo,8,8433,2023-08-31,240000.0,41618,187500000000.0,348,70080.0,87600000.0,192.0
Guayepo fase ii,Solar,200.0,Atlántico,Sabanalarga,8,8638,2023-12-31,960000.0,166474,750000000000.0,1392,280320.0,350400000.0,768.0
Sierra,Solar,200.0,Antioquia,Puerto nare,5,5585,2023-05-12,960000.0,166474,750000000000.0,1392,280320.0,350400000.0,768.0
Tepuy,Solar,83.0,Caldas,La dorada,17,17380,2023-07-31,398400.0,69087,311250000000.0,578,116333.0,145416000.0,318.72054794520545
Shangri-la,Solar,160.0,Tolima,Ibagué,73,73001,2023-06-30,768000.0,133179,600000000000.0,1114,224256.0,280320000.0,614.4
Puerta de oro fase 2,Solar,180.0,Cundinamarca,Guaduas,25,25320,2999-12-31,864000.0,149827,675000000000.0,1253,252288.0,315360000.0,691.2
Escobal 1 al 5,Solar,99.5,Tolima,Alvarado,73,73026,2023-12-31,477600.0,82821,373125000000.0,693,139459.0,174324000.0,382.0794520547945
Parque fotovoltaico sunnorte,Solar,35.0,Norte de santander,"""""",54,54,2023-12-31,168000.0,29133,131250000000.0,244,49056.0,61320000.0,134.4
