Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2024-10-01,Electricity,7296.0842,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Hydro,3569.1598,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Total Combustible Fuels,3408.1214,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,"Coal, Peat and Manufactured Gases",940.2171,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Oil and Petroleum Products,308.8923,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Natural Gas,1929.3473,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Combustible Renewables,229.6647,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Solar,309.1557,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Not Specified,0,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4117.6276,GWh,10,2024
Colombia,Total Imports,2024-10-01,Electricity,0.083,GWh,10,2024
Colombia,Total Exports,2024-10-01,Electricity,5.308,GWh,10,2024
Colombia,Distribution Losses,2024-10-01,Electricity,505.4625,GWh,10,2024
Colombia,Final Consumption (Calculated),2024-10-01,Electricity,6785.3967,GWh,10,2024
Colombia,Net Electricity Production,2024-10-01,Wind,9.6473,GWh,10,2024
Colombia,Net Electricity Production,2024-09-01,Electricity,7503.2408,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Hydro,4178.6337,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Total Combustible Fuels,3011.7407,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,"Coal, Peat and Manufactured Gases",883.9912,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Oil and Petroleum Products,293.2774,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Natural Gas,1604.8133,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Combustible Renewables,229.6588,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Solar,303.0101,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Not Specified,0,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4721.1589,GWh,9,2024
Colombia,Total Imports,2024-09-01,Electricity,0.0031,GWh,9,2024
Colombia,Total Exports,2024-09-01,Electricity,235.4962,GWh,9,2024
Colombia,Distribution Losses,2024-09-01,Electricity,602.2539,GWh,9,2024
Colombia,Final Consumption (Calculated),2024-09-01,Electricity,6665.4938,GWh,9,2024
Colombia,Net Electricity Production,2024-09-01,Wind,9.8562,GWh,9,2024
Colombia,Net Electricity Production,2024-08-01,Electricity,7760.0167,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Hydro,4924.8719,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Total Combustible Fuels,2506.5546,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,"Coal, Peat and Manufactured Gases",864.1786,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Oil and Petroleum Products,287.0231,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Natural Gas,1125.6944,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Combustible Renewables,229.6585,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Solar,314.2221,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Not Specified,0,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5483.1206,GWh,8,2024
Colombia,Total Imports,2024-08-01,Electricity,0.0005,GWh,8,2024
Colombia,Total Exports,2024-08-01,Electricity,271.4897,GWh,8,2024
Colombia,Distribution Losses,2024-08-01,Electricity,580.7162,GWh,8,2024
Colombia,Final Consumption (Calculated),2024-08-01,Electricity,6907.8113,GWh,8,2024
Colombia,Net Electricity Production,2024-08-01,Wind,14.3683,GWh,8,2024
Colombia,Net Electricity Production,2024-07-01,Electricity,7518.585,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Hydro,5144.4299,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Total Combustible Fuels,2058.6152,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,"Coal, Peat and Manufactured Gases",579.5324,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Oil and Petroleum Products,286.2918,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Natural Gas,963.1421,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Combustible Renewables,229.649,GWh,7,2024
Colombia,Net Electricity Production,2024-07-01,Solar,296.1264,GWh,7,2024
