Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2021-03-01,Wind,6.2167,GWh,3,2021
Colombia,Net Electricity Production,2021-02-01,Hydro,3993.4059,GWh,2,2021
Colombia,Net Electricity Production,2021-02-01,Combustible Renewables,183.5855,GWh,2,2021
Colombia,Net Electricity Production,2021-02-01,Geothermal,0.0,GWh,2,2021
Colombia,Net Electricity Production,2021-02-01,Solar,22.7534,GWh,2,2021
Colombia,Net Electricity Production,2021-02-01,Other Renewables,0.0,GWh,2,2021
Colombia,Net Electricity Production,2021-02-01,Wind,5.6824,GWh,2,2021
Colombia,Net Electricity Production,2021-01-01,Hydro,4575.2275,GWh,1,2021
Colombia,Net Electricity Production,2021-01-01,Combustible Renewables,183.5816,GWh,1,2021
Colombia,Net Electricity Production,2021-01-01,Geothermal,0.0,GWh,1,2021
Colombia,Net Electricity Production,2021-01-01,Solar,24.136,GWh,1,2021
Colombia,Net Electricity Production,2021-01-01,Other Renewables,0.0,GWh,1,2021
Colombia,Net Electricity Production,2021-01-01,Wind,4.3738,GWh,1,2021
Colombia,Net Electricity Production,2020-12-01,Hydro,4669.5601,GWh,12,2020
Colombia,Net Electricity Production,2020-12-01,Combustible Renewables,173.7709,GWh,12,2020
Colombia,Net Electricity Production,2020-12-01,Geothermal,0.0,GWh,12,2020
Colombia,Net Electricity Production,2020-12-01,Solar,23.4687,GWh,12,2020
Colombia,Net Electricity Production,2020-12-01,Other Renewables,0.0,GWh,12,2020
Colombia,Net Electricity Production,2020-12-01,Wind,3.2991,GWh,12,2020
Colombia,Net Electricity Production,2020-11-01,Hydro,4698.9114,GWh,11,2020
Colombia,Net Electricity Production,2020-11-01,Combustible Renewables,173.7685,GWh,11,2020
Colombia,Net Electricity Production,2020-11-01,Geothermal,0.0,GWh,11,2020
Colombia,Net Electricity Production,2020-11-01,Solar,15.9471,GWh,11,2020
Colombia,Net Electricity Production,2020-11-01,Other Renewables,0.0,GWh,11,2020
Colombia,Net Electricity Production,2020-11-01,Wind,1.2735,GWh,11,2020
Colombia,Net Electricity Production,2020-10-01,Hydro,4525.4725,GWh,10,2020
Colombia,Net Electricity Production,2020-10-01,Combustible Renewables,173.7702,GWh,10,2020
Colombia,Net Electricity Production,2020-10-01,Geothermal,0.0,GWh,10,2020
Colombia,Net Electricity Production,2020-10-01,Solar,17.2026,GWh,10,2020
Colombia,Net Electricity Production,2020-10-01,Other Renewables,0.0,GWh,10,2020
Colombia,Net Electricity Production,2020-10-01,Wind,1.3912,GWh,10,2020
Colombia,Net Electricity Production,2020-09-01,Hydro,4344.2693,GWh,9,2020
Colombia,Net Electricity Production,2020-09-01,Combustible Renewables,173.77,GWh,9,2020
Colombia,Net Electricity Production,2020-09-01,Geothermal,0.0,GWh,9,2020
Colombia,Net Electricity Production,2020-09-01,Solar,16.799,GWh,9,2020
Colombia,Net Electricity Production,2020-09-01,Other Renewables,0.0,GWh,9,2020
Colombia,Net Electricity Production,2020-09-01,Wind,1.3966,GWh,9,2020
Colombia,Net Electricity Production,2020-08-01,Hydro,4564.7455,GWh,8,2020
Colombia,Net Electricity Production,2020-08-01,Combustible Renewables,173.7704,GWh,8,2020
Colombia,Net Electricity Production,2020-08-01,Geothermal,0.0,GWh,8,2020
Colombia,Net Electricity Production,2020-08-01,Solar,14.5819,GWh,8,2020
Colombia,Net Electricity Production,2020-08-01,Other Renewables,0.0,GWh,8,2020
